Customer ID,Ticker,Transaction Date,Transaction Type,Quantity,Price
C001,AAPL,10/23/23,Buy,5,171.930069
C001,AAPL,8/23/24,Sell,1,226.5906982
C001,AAPL,7/7/23,Sell,1,189.2451935
C001,AAPL,6/15/23,Buy,3,184.6103363
C001,AAPL,6/18/24,Buy,5,213.8070068
C001,AAPL,12/11/23,Buy,5,192.238205
C001,AAPL,5/3/24,Buy,4,182.7188416
C001,AAPL,8/9/23,Buy,2,176.8491821
C001,AAPL,12/22/23,Buy,2,192.656189
C001,AAPL,6/12/23,Buy,26,182.4070587
C001,MSFT,12/11/23,Sell,1,369.2817383
C001,MSFT,3/21/23,Buy,2,270.5746765
C001,MSFT,5/12/23,Buy,3,305.3527222
C001,MSFT,6/17/24,Buy,1,447.5632935
C001,MSFT,11/13/24,Buy,3,425.2000122
C001,MSFT,2/22/24,Buy,4,410.1695251
C001,MSFT,6/23/23,Buy,2,331.8215027
C001,MSFT,8/15/23,Buy,33,318.7871094
C001,TSLA,6/14/24,Buy,1,178.0099945
C001,TSLA,2/9/24,Sell,1,193.5700073
C001,TSLA,11/6/23,Sell,1,219.2700043
C001,TSLA,9/28/23,Sell,1,246.3800049
C001,TSLA,1/24/23,Buy,1,143.8899994
C001,TSLA,6/27/23,Sell,1,250.2100067
C001,TSLA,6/12/23,Sell,1,249.8300018
C001,TSLA,9/27/24,Sell,1,260.4599915
C001,TSLA,10/25/23,Buy,1,212.4199982
C001,TSLA,3/15/24,Buy,18,163.5700073
C001,XOM,6/9/23,Buy,3,102.0698853
C001,XOM,10/18/24,Buy,4,119.0318985
C001,XOM,7/31/24,Buy,4,116.6840668
C001,XOM,6/24/24,Buy,2,112.2170334
C001,XOM,1/10/24,Sell,1,95.4345932
C001,XOM,4/5/24,Sell,3,118.4572296
C001,XOM,11/12/24,Sell,2,119.3691254
C001,XOM,11/7/24,Buy,4,120.1626129
C001,XOM,2/16/23,Buy,4,109.0504532
C001,XOM,1/11/23,Buy,35,104.1407547
C001,CVX,7/12/24,Sell,1,152.3141632
C001,CVX,5/22/23,Sell,1,143.2511902
C001,CVX,9/27/23,Sell,2,162.2747192
C001,CVX,6/12/23,Sell,3,147.8464355
C001,CVX,8/18/23,Sell,1,152.6543579
C001,CVX,9/5/24,Sell,3,139.506897
C001,CVX,3/31/23,Buy,2,151.8381348
C001,CVX,1/19/24,Buy,4,136.3652496
C001,CVX,4/14/23,Buy,3,160.4741821
C001,ENPH,11/15/24,Buy,5,83.83000183
C001,ENPH,11/10/24,Buy,10,130.6699982
C001,ENPH,6/18/24,Buy,10,119.0100021
C001,ENPH,7/5/24,Buy,20,97.13999939
C001,ENPH,11/22/23,Sell,3,100.1999969
C001,ENPH,7/20/23,Buy,10,175.9199982
C001,ENPH,4/27/23,Sell,3,164.1799927
C001,ENPH,10/19/23,Buy,5,115.9000015
C001,ENPH,7/17/24,Buy,5,111.1500015
C001,FSLR,4/4/24,Sell,2,171.4600067
C001,FSLR,3/8/24,Sell,1,161.3500061
C001,FSLR,6/4/24,Sell,1,266.1700134
C001,FSLR,9/15/23,Sell,2,174.0500031
C001,FSLR,2/7/24,Buy,2,145.4600067
C001,FSLR,5/19/23,Sell,1,203.5299988
C001,FSLR,1/9/24,Buy,2,166.9100037
C001,FSLR,2/14/23,Buy,1,165.0399933
C001,FSLR,11/8/24,Sell,1,193.9299927
C001,FSLR,3/1/24,Buy,23,158.0500031
C001,NEE,11/1/24,Sell,2,77.34999847
C001,NEE,2/8/24,Sell,4,55.06381989
C001,NEE,7/3/23,Sell,1,71.67588806
C001,NEE,8/22/24,Buy,5,78.41213989
C001,NEE,8/21/24,Buy,6,79.12751007
C001,NEE,10/4/24,Buy,4,83.84999847
C001,NEE,11/15/24,Sell,1,76.34999847
C001,NEE,6/30/23,Sell,2,71.50242615
C001,NEE,8/8/24,Sell,2,77.04102325
C001,NEE,4/20/23,Buy,57,75.40309143
C001,BP,3/19/24,Buy,2,36.28292465
C001,BP,9/10/24,Sell,5,30.65637207
C001,BP,5/5/23,Sell,2,33.9532814
C001,BP,11/17/23,Sell,10,33.7283783
C001,BP,6/26/24,Sell,2,34.6502533
C001,BP,1/17/24,Sell,9,32.10873795
C001,BP,7/8/24,Buy,4,35.45539474
C001,BP,1/25/23,Buy,10,31.91204262
C001,BP,10/23/23,Buy,108,36.38425064
C001,COP,8/13/24,Buy,2,107.5881653
C001,COP,5/9/24,Buy,1,120.8847122
C001,COP,8/30/24,Sell,3,113.000351
C001,COP,8/11/23,Buy,1,112.9644318
C001,COP,7/3/23,Sell,3,99.94297791
C001,COP,7/7/23,Buy,2,98.98410797
C001,COP,6/7/24,Buy,1,110.4240112
C001,COP,11/28/23,Buy,30,111.84758
C001,SLB,7/16/24,Sell,1,48.4031868
C001,SLB,6/18/24,Buy,2,44.15101624
C001,SLB,5/14/24,Sell,1,47.99783325
C001,SLB,1/18/24,Buy,1,47.66706467
C001,SLB,8/9/24,Buy,2,43.26680374
C001,SLB,1/4/23,Sell,1,49.78785324
C001,SLB,8/19/24,Sell,1,45.06503677
C001,SLB,9/14/23,Buy,1,60.17674255
C001,SLB,1/31/23,Sell,1,54.87257004
C001,SLB,8/26/24,Buy,24,45.30347443
C001,ARKK,2/22/23,Sell,4,39.93693161
C001,ARKK,8/4/23,Buy,1,45.00466919
C001,ARKK,3/17/23,Buy,1,38.36008453
C001,ARKK,12/14/23,Buy,5,52.02000046
C001,ARKK,1/12/24,Sell,3,47.38000107
C001,ARKK,6/12/24,Buy,3,45.08000183
C001,ARKK,8/29/23,Buy,5,42.95178986
C001,ARKK,2/17/23,Sell,2,41.5137825
C001,ARKK,6/23/23,Buy,49,41.79146576
C001,XLE,6/10/24,Buy,2,89.21094513
C001,XLE,9/7/23,Buy,2,87.49160004
C001,XLE,9/18/23,Buy,4,89.04595947
C001,XLE,6/14/24,Buy,3,86.62326813
C001,XLE,2/10/23,Sell,2,84.92811584
C001,XLE,4/6/23,Buy,5,80.83930969
C001,XLE,5/10/23,Buy,1,75.48362732
C001,XLE,4/14/23,Buy,3,82.97967529
C001,XLE,5/17/24,Buy,40,93.43190765
C002,AAPL,5/19/23,Buy,1,173.8419952
C002,AAPL,10/30/24,Buy,4,229.8471222
C002,AAPL,8/31/23,Buy,2,186.7081299
C002,AAPL,1/13/23,Buy,1,133.3576202
C002,AAPL,11/8/24,Sell,4,226.9600067
C002,AAPL,2/9/24,Sell,3,188.1691437
C002,AAPL,9/11/24,Buy,3,222.4152985
C002,AAPL,6/11/24,Sell,3,206.6831055
C002,AAPL,11/14/23,Sell,2,186.5261993
C002,AAPL,9/20/23,Buy,41,174.4046936
C002,JNJ,9/28/23,Sell,3,152.0681305
C002,JNJ,1/27/23,Sell,2,159.5347595
C002,JNJ,9/8/23,Buy,30,155.6352539
C002,JNJ,12/29/23,Buy,20,153.1491089
C002,JNJ,11/8/24,Buy,50,155.4700012
C002,JNJ,10/13/23,Buy,2,152.039032
C002,JNJ,2/27/24,Buy,32,158.4862213
C002,PG,10/16/24,Sell,2,171.3724213
C002,PG,10/5/23,Sell,2,139.4269714
C002,PG,6/21/23,Buy,1,143.988266
C002,PG,6/14/24,Sell,1,164.8237762
C002,PG,9/12/24,Sell,1,172.4560394
C002,PG,7/18/24,Sell,2,166.4543304
C002,PG,6/6/24,Sell,2,166.4839783
C002,PG,3/1/23,Buy,1,131.8127289
C002,PG,10/23/24,Buy,34,169.5800018
C002,XOM,5/14/24,Sell,3,115.7788544
C002,XOM,12/1/23,Buy,1,99.59274292
C002,XOM,3/3/23,Sell,1,106.2989731
C002,XOM,11/15/24,Sell,3,119.3099976
C002,XOM,7/18/24,Sell,1,116.8907013
C002,XOM,5/21/24,Buy,5,115.9559555
C002,XOM,3/1/24,Sell,3,103.2999268
C002,XOM,5/24/23,Sell,2,102.2599792
C002,XOM,8/16/24,Sell,1,117.2068939
C002,XOM,6/15/23,Buy,58,100.6442032
C002,SPY,6/14/24,Sell,2,539.380188
C002,SPY,5/17/23,Sell,1,406.7390442
C002,SPY,8/2/24,Buy,3,531.2704468
C002,SPY,8/6/24,Sell,4,520.5533447
C002,SPY,7/25/24,Buy,5,536.7635498
C002,SPY,1/25/23,Sell,6,390.6723022
C002,SPY,12/20/23,Sell,6,463.8856201
C002,SPY,11/28/23,Buy,6,448.86026
C002,SPY,10/19/23,Sell,1,420.740509
C002,SPY,12/26/23,Buy,66,471.2065735
C002,TSLA,11/8/23,Buy,1,222.1100006
C002,TSLA,7/24/23,Buy,1,269.0599976
C002,TSLA,2/3/23,Buy,1,189.9799957
C002,TSLA,1/2/24,Sell,1,248.4199982
C002,TSLA,4/11/23,Buy,2,186.7899933
C002,TSLA,10/18/24,Buy,2,220.6999969
C002,TSLA,8/22/24,Buy,1,210.6600037
C002,TSLA,9/8/23,Buy,10,248.5
C002,KO,7/24/24,Sell,3,65.36190033
C002,KO,2/22/24,Sell,5,59.78778458
C002,KO,11/18/24,Sell,3,61.86000061
C002,KO,1/6/23,Sell,1,60.09181213
C002,KO,3/9/23,Sell,1,56.35739899
C002,KO,1/10/23,Sell,3,58.88808441
C002,KO,7/13/23,Buy,1,58.07869339
C002,KO,6/28/23,Buy,20,58.24229813
C002,KO,1/8/24,Buy,100,58.77095032
C002,KO,5/1/23,Buy,62,61.41232681
C002,AMD,4/5/23,Buy,20,92.55999756
C002,AMD,2/16/24,Buy,40,173.8699951
C002,AMD,10/21/24,Buy,10,157.8999939
C002,AMD,3/2/23,Sell,5,80.44000244
C002,AMD,7/17/23,Sell,5,118.3199997
C002,AMD,4/19/24,Buy,100,146.6399994
C002,AMD,10/11/24,Sell,10,167.8899994
C002,AMD,9/7/23,Buy,2,106.5899963
C002,AMD,6/26/24,Sell,2,157.5399933
C002,AMD,4/4/24,Buy,28,165.8300018
C002,NVDA,12/7/23,Sell,1,46.58600235
C002,NVDA,3/29/23,Sell,1,26.97082138
C002,NVDA,1/30/23,Buy,1,19.14939308
C002,NVDA,4/26/24,Sell,2,87.72028351
C002,NVDA,11/17/23,Buy,2,49.2830925
C002,NVDA,11/21/23,Buy,1,49.92889404
C002,NVDA,8/30/23,Buy,1,49.24504471
C002,NVDA,1/12/24,Sell,1,54.69825745
C002,META,7/19/24,Buy,2,476.3356018
C002,META,6/28/24,Buy,1,503.7394409
C002,META,10/27/23,Buy,1,295.8392639
C002,META,2/20/24,Sell,1,470.3338623
C002,META,5/16/23,Buy,1,238.1031036
C002,META,9/1/23,Buy,2,295.4903259
C002,META,3/15/24,Sell,2,483.158905
C002,META,9/13/24,Buy,20,524.1199951